row,column,category,rotationDegrees
0,0,1,0
0,1,2,0
0,2,2,0
0,3,2,0
0,4,2,0
0,5,2,0
0,6,2,0
0,7,2,0
0,8,2,0
0,9,2,0
0,10,2,0
0,11,2,0
0,12,2,0
0,13,7,0
1,0,2,90
1,1,5,0
1,2,5,0
1,3,5,0
1,4,5,0
1,5,5,0
1,6,5,0
1,7,5,0
1,8,5,0
1,9,5,0
1,10,5,0
1,11,5,0
1,12,5,0
1,13,4,90
2,0,2,90
2,1,5,0
2,2,3,0
2,3,4,0
2,4,4,0
2,5,3,270
2,6,5,0
2,7,3,0
2,8,4,0
2,9,4,0
2,10,4,0
2,11,3,270
2,12,5,0
2,13,4,90
3,0,2,90
3,1,6,0
3,2,4,90
3,5,4,90
3,6,5,0
3,7,4,90
3,11,4,90
3,12,5,0
3,13,4,90
4,0,2,90
4,1,5,0
4,2,3,90
4,3,4,0
4,4,4,0
4,5,3,180
4,6,5,0
4,7,3,90
4,8,4,0
4,9,4,0
4,10,4,0
4,11,3,180
4,12,5,0
4,13,3,90
5,0,2,90
5,1,5,0
5,2,5,0
5,3,5,0
5,4,5,0
5,5,5,0
5,6,5,0
5,7,5,0
5,8,5,0
5,9,5,0
5,10,5,0
5,11,5,0
5,12,5,0
5,13,5,0
6,0,2,90
6,1,5,0
6,2,3,0
6,3,4,0
6,4,4,0
6,5,3,270
6,6,5,0
6,7,3,0
6,8,3,270
6,9,5,0
6,10,3,0
6,11,4,0
6,12,4,0
6,13,4,0
7,0,2,90
7,1,5,0
7,2,3,90
7,3,4,0
7,4,4,0
7,5,3,180
7,6,5,0
7,7,4,90
7,8,4,90
7,9,5,0
7,10,3,90
7,11,4,0
7,12,4,0
7,13,3,270
8,0,2,90
8,1,5,0
8,2,5,0
8,3,5,0
8,4,5,0
8,5,5,0
8,6,5,0
8,7,4,90
8,8,4,90
8,9,5,0
8,10,5,0
8,11,5,0
8,12,5,0
8,13,4,90
9,0,1,90
9,1,2,0
9,2,2,0
9,3,2,0
9,4,2,0
9,5,1,270
9,6,5,0
9,7,4,90
9,8,3,90
9,9,4,0
9,10,4,0
9,11,3,270
9,13,4,90
10,5,2,90
10,6,5,0
10,7,4,90
10,8,3,0
10,9,4,0
10,10,4,0
10,11,3,180
10,13,3,90
11,5,2,90
11,6,5,0
11,7,4,90
11,8,4,90
12,5,2,90
12,6,5,0
12,7,4,90
12,8,4,90
12,10,3,0
12,11,4,0
12,12,4,0
12,13,8,0
13,0,2,0
13,1,2,0
13,2,2,0
13,3,2,0
13,4,2,0
13,5,1,180
13,6,5,0
13,7,3,90
13,8,3,180
13,10,4,90
14,6,5,0
14,10,4,90
